Keystate: 8 - Annotation: ['it has opened the drawer', 'Open the drawer', 'open the drawer']
Keystate: 15 - Annotation: ['Open the drawer', 'open the drawer', 'open the drawer']
Keystate: 23 - Annotation: ['open the drawer', 'open the drawer', 'open the drawer']
Keystate: 29 - Annotation: ['open the drawer', 'open the drawer', 'open the drawer']
Keystate: 38 - Annotation: ['it has opened the drawer', 'open the drawer', 'open the drawer']
Keystate: 47 - Annotation: ['open the drawer', 'open the drawer', 'open the drawer']
Keystate: 56 - Annotation: ['it has opened the drawer', 'open the drawer', 'open the drawer']
Keystate: 64 - Annotation: ['it has opened the drawer', 'open the drawer', 'open the drawer']
Keystate: 72 - Annotation: ['open the drawer', 'open the drawer', 'open the drawer']
Keystate: 79 - Annotation: ['it has opened the drawer', 'open the drawer', 'open the drawer']
Keystate: 87 - Annotation: ['open the drawer', 'open the drawer', 'open the drawer']
Keystate: 94 - Annotation: ['open the drawer', 'open the drawer', 'open the drawer']
Keystate: 101 - Annotation: ['open the drawer', 'open the drawer', 'open the drawer']
Keystate: 109 - Annotation: ['open the drawer', 'open the drawer', 'open the drawer']
Keystate: 117 - Annotation: ['it has opened the drawer', 'open the drawer', 'open the drawer']
Keystate: 127 - Annotation: ['open the drawer', 'open the drawer', 'open the drawer']
Keystate: 135 - Annotation: ['open the drawer', 'open the drawer', 'open the drawer']
Keystate: 145 - Annotation: ['it has opened the drawer', 'open the drawer', 'open the drawer']
Keystate: 153 - Annotation: ['open the drawer', 'open the drawer', 'open the drawer']
Keystate: 160 - Annotation: ['it has opened the drawer', 'Open the drawer', 'open the drawer']
