Keystate: 9 - Annotation: ['grabs drawer by the handle and closes it', 'opened drawer', 'closing the drawer']
Keystate: 16 - Annotation: ['grabs drawer by the handle and closes it', 'closing the drawer', 'opened drawer']
Keystate: 24 - Annotation: ['closing the drawer', 'opened drawer', 'grabs drawer by the handle and closes it']
Keystate: 31 - Annotation: ['opened drawer', 'grabs drawer by the handle and closes it', 'closing the drawer']
Keystate: 38 - Annotation: ['closing the drawer', 'grabs drawer by the handle and closes it', 'opened drawer']
Keystate: 47 - Annotation: ['grabs drawer by the handle and closes it', 'closing the drawer', 'opened drawer']
Keystate: 54 - Annotation: ['grabs drawer by the handle and closes it', 'closing the drawer', 'opened drawer']
Keystate: 62 - Annotation: ['grabs drawer by the handle and closes it', 'closing the drawer', 'opened drawer']
Keystate: 72 - Annotation: ['grabs drawer by the handle and closes it', 'opened drawer', 'closing the drawer']
Keystate: 81 - Annotation: ['grabs drawer by the handle and closes it', 'closing the drawer', 'opened drawer']
Keystate: 89 - Annotation: ['grabs drawer by the handle and closes it', 'closing the drawer', 'opened drawer']
Keystate: 100 - Annotation: ['opened drawer', 'closing the drawer', 'grabs drawer by the handle and closes it']
Keystate: 109 - Annotation: ['grabs drawer by the handle and closes it', 'closing the drawer', 'opened drawer']
Keystate: 117 - Annotation: ['grabs drawer by the handle and closes it', 'opened drawer', 'closing the drawer']
Keystate: 127 - Annotation: ['grabs drawer by the handle and closes it', 'opened drawer', 'closing the drawer']
Keystate: 139 - Annotation: ['opened drawer', 'grabs drawer by the handle and closes it', 'closing the drawer']
Keystate: 151 - Annotation: ['closing the drawer', 'grabs drawer by the handle and closes it', 'opened drawer']
Keystate: 160 - Annotation: ['grabs drawer by the handle and closes it', 'closing the drawer', 'opened drawer']
Keystate: 172 - Annotation: ['grabs drawer by the handle and closes it', 'closing the drawer', 'opened drawer']
Keystate: 184 - Annotation: ['grabs drawer by the handle and closes it', 'closing the drawer', 'opened drawer']
