Keystate: 9 - Annotation: ['placed an orange thing on the table from the drawer', 'put the orange thing in the drawer', 'oppen the drawer']
Keystate: 17 - Annotation: ['placed an orange thing on the table from the drawer', 'put the orange thing in the drawer', 'oppen the drawer']
Keystate: 28 - Annotation: ['placed an orange thing on the table from the drawer', 'put the orange thing in the drawer', 'oppen the drawer']
Keystate: 38 - Annotation: ['placed an orange thing on the table from the drawer', 'put the orange thing in the drawer', 'pick the orange object and put it on the left side of table']
Keystate: 46 - Annotation: ['placed an orange thing on the table from the drawer', 'put the orange thing in the drawer', 'pick the orange object and put it on the left side of table']
Keystate: 58 - Annotation: ['placed an orange thing on the table from the drawer', 'put the orange thing in the drawer', 'oppen the drawer']
Keystate: 68 - Annotation: ['placed an orange thing on the table from the drawer', 'put the orange thing in the drawer', 'oppen the drawer']
Keystate: 77 - Annotation: ['placed an orange thing on the table from the drawer', 'put the orange thing in the drawer', 'oppen the drawer']
Keystate: 88 - Annotation: ['placed an orange thing on the table from the drawer', 'put the orange thing in the drawer', 'pick the orange object and put it on the left side of table']
Keystate: 99 - Annotation: ['placed an orange thing on the table from the drawer', 'put the orange thing in the drawer', 'oppen the drawer']
Keystate: 107 - Annotation: ['placed an orange thing on the table from the drawer', 'put the orange thing in the drawer', 'oppen the drawer']
Keystate: 115 - Annotation: ['placed an orange thing on the table from the drawer', 'put the orange thing in the drawer', 'oppen the drawer']
Keystate: 123 - Annotation: ['placed an orange thing on the table from the drawer', 'put the orange thing in the drawer', 'oppen the drawer']
Keystate: 134 - Annotation: ['placed an orange thing on the table from the drawer', 'put the orange thing in the drawer', 'oppen the drawer']
Keystate: 143 - Annotation: ['placed an orange thing on the table from the drawer', 'oppen the drawer', 'put the orange thing in the drawer']
Keystate: 153 - Annotation: ['placed an orange thing on the table from the drawer', 'put the orange thing in the drawer', 'oppen the drawer']
Keystate: 163 - Annotation: ['placed an orange thing on the table from the drawer', 'oppen the drawer', 'put the orange thing in the drawer']
Keystate: 172 - Annotation: ['placed an orange thing on the table from the drawer', 'put the orange thing in the drawer', 'oppen the drawer']
Keystate: 182 - Annotation: ['placed an orange thing on the table from the drawer', 'put the orange thing in the drawer', 'oppen the drawer']
Keystate: 191 - Annotation: ['placed an orange thing on the table from the drawer', 'put the orange thing in the drawer', 'oppen the drawer']
